Series Name;Series Code;Country Name;Country Code;2018 [YR2018];2019 [YR2019];rank
GDP (current US$);NY.GDP.MKTP.CD;Congo, Dem. Rep.;COD;46831342213;47319624204;
GDP (current US$);NY.GDP.MKTP.CD;Jordan;JOR;42231295775;43743661972;
GDP (current US$);NY.GDP.MKTP.CD;Bolivia;BOL;40287647902;40895322865;
GDP (current US$);NY.GDP.MKTP.CD;Tunisia;TUN;39770297329;38797709924;
GDP (current US$);NY.GDP.MKTP.CD;Cameroon;CMR;38694095651;38760467033;
GDP (current US$);NY.GDP.MKTP.CD;Bahrain;BHR;37652500000;38574069149;
GDP (current US$);NY.GDP.MKTP.CD;Paraguay;PRY;40384691791;38145288940;
GDP (current US$);NY.GDP.MKTP.CD;Uganda;UGA;32772824209;34387229486;
GDP (current US$);NY.GDP.MKTP.CD;Latvia;LVA;34313873285;34117202555;
GDP (current US$);NY.GDP.MKTP.CD;Estonia;EST;30747159198;31386949981;
GDP (current US$);NY.GDP.MKTP.CD;Nepal;NPL;29173513476;30641380604;
GDP (current US$);NY.GDP.MKTP.CD;Cambodia;KHM;24571753583;27089389787;
GDP (current US$);NY.GDP.MKTP.CD;El Salvador;SLV;26117400000;27022640000;
GDP (current US$);NY.GDP.MKTP.CD;Honduras;HND;24024189736;25095395475;
GDP (current US$);NY.GDP.MKTP.CD;Papua New Guinea;PNG;23412495063;24969611435;
GDP (current US$);NY.GDP.MKTP.CD;Cyprus;CYP;24961995749;24564647935;
GDP (current US$);NY.GDP.MKTP.CD;Iceland;ISL;25737594325;24188035739;
GDP (current US$);NY.GDP.MKTP.CD;Trinidad and Tobago;TTO;23808146748;24100202834;
GDP (current US$);NY.GDP.MKTP.CD;Senegal;SEN;23236007428;23578084052;
GDP (current US$);NY.GDP.MKTP.CD;Zambia;ZMB;27005238896;23064722446;
GDP (current US$);NY.GDP.MKTP.CD;Zimbabwe;ZWE;24311560500;21440758800;
GDP (current US$);NY.GDP.MKTP.CD;Bosnia and Herzegovina;BIH;20183498491;20047848435;
GDP (current US$);NY.GDP.MKTP.CD;Afghanistan;AFG;19484384937;19101353833;
GDP (current US$);NY.GDP.MKTP.CD;Sudan;SDN;26078607539;18902284476;
GDP (current US$);NY.GDP.MKTP.CD;Botswana;BWA;18663264706;18340510789;
GDP (current US$);NY.GDP.MKTP.CD;Lao PDR;LAO;17953786416;18173839128;
GDP (current US$);NY.GDP.MKTP.CD;Georgia;GEO;17599700091;17743195770;
GDP (current US$);NY.GDP.MKTP.CD;Mali;MLI;17172022684;17510141171;
GDP (current US$);NY.GDP.MKTP.CD;Gabon;GAB;16862282414;16657960228;
GDP (current US$);NY.GDP.MKTP.CD;Jamaica;JAM;15713908816;16458071068;
GDP (current US$);NY.GDP.MKTP.CD;Burkina Faso;BFA;16199434625;15745810235;
GDP (current US$);NY.GDP.MKTP.CD;Albania;ALB;15147020535;15278077447;
GDP (current US$);NY.GDP.MKTP.CD;Mozambique;MOZ;14717223207;14934159926;
GDP (current US$);NY.GDP.MKTP.CD;Malta;MLT;14603581712;14786156563;
GDP (current US$);NY.GDP.MKTP.CD;Benin;BEN;14250985959;14390709095;
GDP (current US$);NY.GDP.MKTP.CD;Mauritius;MUS;14181803715;14180444557;
GDP (current US$);NY.GDP.MKTP.CD;Madagascar;MDG;13853433948;14083906357;
GDP (current US$);NY.GDP.MKTP.CD;Mongolia;MNG;13108769496;13852850259;
GDP (current US$);NY.GDP.MKTP.CD;Armenia;ARM;12457941907;13672802158;
GDP (current US$);NY.GDP.MKTP.CD;Guinea;GIN;12207116729;13590281809;
GDP (current US$);NY.GDP.MKTP.CD;Brunei Darussalam;BRN;13567351175;13469422941;
GDP (current US$);NY.GDP.MKTP.CD;Niger;NER;12826750567;12928145120;
GDP (current US$);NY.GDP.MKTP.CD;Bahamas, The;BHS;12424500000;12827000000;
GDP (current US$);NY.GDP.MKTP.CD;North Macedonia;MKD;12628854801;12694823394;
GDP (current US$);NY.GDP.MKTP.CD;Nicaragua;NIC;13063873078;12520915291;
GDP (current US$);NY.GDP.MKTP.CD;Namibia;NAM;13454211124;12366527719;
GDP (current US$);NY.GDP.MKTP.CD;Moldova;MDA;11457410264;11955435457;
GDP (current US$);NY.GDP.MKTP.CD;Chad;TCD;11239167048;11314951343;
GDP (current US$);NY.GDP.MKTP.CD;Equatorial Guinea;GNQ;13278488567;11026774945;
GDP (current US$);NY.GDP.MKTP.CD;Congo, Rep.;COG;11662700148;10820591131;
GDP (current US$);NY.GDP.MKTP.CD;Rwanda;RWA;9627720630;10122472590;
GDP (current US$);NY.GDP.MKTP.CD;Haiti;HTI;9658721170;8498981821;
GDP (current US$);NY.GDP.MKTP.CD;Kyrgyz Republic;KGZ;8271108638;8454619608;
GDP (current US$);NY.GDP.MKTP.CD;Tajikistan;TJK;7522947810;8116626794;
GDP (current US$);NY.GDP.MKTP.CD;Kosovo;XKX;7942961738;7926108374;
GDP (current US$);NY.GDP.MKTP.CD;Malawi;MWI;6917301909;7666704427;
GDP (current US$);NY.GDP.MKTP.CD;Mauritania;MRT;7049169771;7593752450;
GDP (current US$);NY.GDP.MKTP.CD;Maldives;MDV;5327457150;5729248472;
GDP (current US$);NY.GDP.MKTP.CD;Fiji;FJI;5536759653;5535548972;
GDP (current US$);NY.GDP.MKTP.CD;Montenegro;MNE;5506766651;5494736901;
GDP (current US$);NY.GDP.MKTP.CD;Togo;TGO;5356344850;5459979417;
GDP (current US$);NY.GDP.MKTP.CD;Barbados;BRB;5086500000;5209000000;
GDP (current US$);NY.GDP.MKTP.CD;Eswatini;SWZ;4710618470;4405405802;
GDP (current US$);NY.GDP.MKTP.CD;Guyana;GUY;3878662621;4280443645;
GDP (current US$);NY.GDP.MKTP.CD;Suriname;SUR;3458090452;3985250737;
GDP (current US$);NY.GDP.MKTP.CD;Sierra Leone;SLE;4085114794;3941474311;
GDP (current US$);NY.GDP.MKTP.CD;Djibouti;DJI;3012820410;3318716359;
GDP (current US$);NY.GDP.MKTP.CD;Andorra;AND;3218316013;3154057987;
GDP (current US$);NY.GDP.MKTP.CD;Liberia;LBR;3264000000;3070518100;
GDP (current US$);NY.GDP.MKTP.CD;Burundi;BDI;3036931818;3012334882;
GDP (current US$);NY.GDP.MKTP.CD;Lesotho;LSO;2575892261;2460072444;
GDP (current US$);NY.GDP.MKTP.CD;Central African Republic;CAF;2220978978;2220307369;
GDP (current US$);NY.GDP.MKTP.CD;St. Lucia;LCA;2065875074;2122450630;
GDP (current US$);NY.GDP.MKTP.CD;Cabo Verde;CPV;1966983316;1981845741;
GDP (current US$);NY.GDP.MKTP.CD;Belize;BLZ;1871200000;1879613600;
GDP (current US$);NY.GDP.MKTP.CD;Gambia, The;GMB;1624600882;1763819048;
GDP (current US$);NY.GDP.MKTP.CD;Antigua and Barbuda;ATG;1610574074;1727759259;
GDP (current US$);NY.GDP.MKTP.CD;Seychelles;SYC;1586008997;1698843063;
GDP (current US$);NY.GDP.MKTP.CD;Timor-Leste;TLS;1568611562;1673540300;
GDP (current US$);NY.GDP.MKTP.CD;Solomon Islands;SLB;1395608475;1425074226;
GDP (current US$);NY.GDP.MKTP.CD;Guinea-Bissau;GNB;1458156026;1340389411;
GDP (current US$);NY.GDP.MKTP.CD;Grenada;GRD;1168696296;1228170370;
GDP (current US$);NY.GDP.MKTP.CD;Comoros;COM;1178530758;1185728677;
GDP (current US$);NY.GDP.MKTP.CD;St. Kitts and Nevis;KNA;1010814815;1050992593;
GDP (current US$);NY.GDP.MKTP.CD;Vanuatu;VUT;906050107;917058851;
GDP (current US$);NY.GDP.MKTP.CD;Samoa;WSM;820491817;850655017;
GDP (current US$);NY.GDP.MKTP.CD;St. Vincent and the Grenadines;VCT;811300000;825385185;
GDP (current US$);NY.GDP.MKTP.CD;Dominica;DMA;550892593;596033333;
GDP (current US$);NY.GDP.MKTP.CD;Sao Tome and Principe;STP;422295934;429016605;
GDP (current US$);NY.GDP.MKTP.CD;Kiribati;KIR;196737896;194647202;
GDP (current US$);NY.GDP.MKTP.CD;Nauru;NRU;124021394;118223430;
GDP (current US$);NY.GDP.MKTP.CD;Tuvalu;TUV;42588165;47271463;
GDP (current US$);NY.GDP.MKTP.CD;American Samoa;ASM;636000000;;
GDP (current US$);NY.GDP.MKTP.CD;Aruba;ABW;..;;
GDP (current US$);NY.GDP.MKTP.CD;Bermuda;BMU;..;;
GDP (current US$);NY.GDP.MKTP.CD;Bhutan;BTN;2446674102;;
GDP (current US$);NY.GDP.MKTP.CD;British Virgin Islands;VGB;..;;
GDP (current US$);NY.GDP.MKTP.CD;Cayman Islands;CYM;5485419417;;
GDP (current US$);NY.GDP.MKTP.CD;Channel Islands;CHI;..;;
GDP (current US$);NY.GDP.MKTP.CD;Cuba;CUB;100023000000;;
GDP (current US$);NY.GDP.MKTP.CD;Curacao;CUW;3127908045;;
GDP (current US$);NY.GDP.MKTP.CD;Eritrea;ERI;..;;
GDP (current US$);NY.GDP.MKTP.CD;Faroe Islands;FRO;..;;
GDP (current US$);NY.GDP.MKTP.CD;French Polynesia;PYF;..;;
GDP (current US$);NY.GDP.MKTP.CD;Gibraltar;GIB;..;;
GDP (current US$);NY.GDP.MKTP.CD;Greenland;GRL;3051626390;;
GDP (current US$);NY.GDP.MKTP.CD;Guam;GUM;5920000000;;
GDP (current US$);NY.GDP.MKTP.CD;Iran, Islamic Rep.;IRN;..;;
GDP (current US$);NY.GDP.MKTP.CD;Isle of Man;IMN;..;;
GDP (current US$);NY.GDP.MKTP.CD;Korea, Dem. People’s Rep.;PRK;..;;
GDP (current US$);NY.GDP.MKTP.CD;Liechtenstein;LIE;..;;
GDP (current US$);NY.GDP.MKTP.CD;Marshall Islands;MHL;221278000;;
GDP (current US$);NY.GDP.MKTP.CD;Micronesia, Fed. Sts.;FSM;401932300;;
GDP (current US$);NY.GDP.MKTP.CD;Monaco;MCO;7188238073;;
GDP (current US$);NY.GDP.MKTP.CD;New Caledonia;NCL;..;;
GDP (current US$);NY.GDP.MKTP.CD;Northern Mariana Islands;MNP;1323000000;;
GDP (current US$);NY.GDP.MKTP.CD;Palau;PLW;283994900;;
GDP (current US$);NY.GDP.MKTP.CD;San Marino;SMR;1637931034;;
GDP (current US$);NY.GDP.MKTP.CD;Sint Maarten (Dutch part);SXM;..;;
GDP (current US$);NY.GDP.MKTP.CD;Somalia;SOM;..;;
GDP (current US$);NY.GDP.MKTP.CD;South Sudan;SSD;..;;
GDP (current US$);NY.GDP.MKTP.CD;St. Martin (French part);MAF;..;;
GDP (current US$);NY.GDP.MKTP.CD;Syrian Arab Republic;SYR;..;;
GDP (current US$);NY.GDP.MKTP.CD;Tonga;TON;450353314;;
GDP (current US$);NY.GDP.MKTP.CD;Turkmenistan;TKM;40761142857;;
GDP (current US$);NY.GDP.MKTP.CD;Turks and Caicos Islands;TCA;1022312010;;
GDP (current US$);NY.GDP.MKTP.CD;Venezuela, RB;VEN;..;;
GDP (current US$);NY.GDP.MKTP.CD;Virgin Islands (U.S.);VIR;..;;
GDP (current US$);NY.GDP.MKTP.CD;West Bank and Gaza;PSE;14615900000;;
GDP (current US$);NY.GDP.MKTP.CD;Yemen, Rep.;YEM;27591261663;;
;;;;;;
;;;;;;
;;;;;;
Data from database: World Development Indicators;;;;;;
Last Updated: 07/01/2020;;;;;;
